Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Europe & Central Asia (IDA & IBRD countries),TEC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.79566,14.97094,15.07584,15.11111,15.34768,15.38538,..
European Union,EUU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.63148,16.64905,16.68055,16.79275,16.80223,16.80771,..
Faroe Islands,FRO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Fiji,FJI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Finland,FIN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,19.26124,19.31862,19.31544,19.39712,19.476,..,..
Fragile and conflict affected situations,FCS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.23166,9.1812,9.12562,..,..,..,..
France,FRA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.44229,15.4227,15.52843,15.6456,15.79594,..,..
French Polynesia,PYF,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Gabon,GAB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
"Gambia, The",GMB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Georgia,GEO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.21274,14.46464,14.68717,15.02782,15.27506,15.61537,..
Germany,DEU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.73534,16.78934,16.87524,16.97719,16.93209,..,..
Ghana,GHA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.05138,11.5566,11.52074,11.46962,11.48333,11.86731,..
Gibraltar,GIB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Global Partnership for Education,FTI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.33926,9.36441,9.40078,9.41013,9.52297,9.58332,..
Greece,GRC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.8985,..,18.64053,19.10167,19.5002,..,..
Greenland,GRL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Grenada,GRD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,18.8692,18.81738,18.48952,18.62984,..,..
Guam,GUM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Guatemala,GTM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.7036,10.75268,..,..,..,..,..
Guinea,GIN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.00926,..,..,..,..,..,..
Guinea-Bissau,GNB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Guyana,GUY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Haiti,HTI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.28219,9.27954,9.26293,9.30213,9.37657,..,..
High income,HIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.26428,16.30657,16.32664,16.36157,16.33589,16.3738,..
Honduras,HND,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.67536,9.88421,9.93949,10.06014,..,..,..
"Hong Kong SAR, China",HKG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.31943,16.45096,16.46667,16.63245,16.92947,17.22212,..
Hungary,HUN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.42549,15.2196,15.11898,15.20418,15.12946,..,..
IBRD only,IBD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.95357,13.08226,13.28013,13.3081,13.21304,13.31946,..
Iceland,ISL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,19.58977,19.3477,19.17451,19.08309,19.17563,..,..
IDA & IBRD total,IBT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.65759,11.7424,11.87036,11.88044,11.84679,11.92416,..
IDA blend,IDB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.8435,8.87099,8.89505,8.86139,8.96318,9.02139,..
IDA only,IDX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.46302,9.49532,9.53637,9.57298,9.69321,9.74607,..
IDA total,IDA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.26491,9.29525,9.32985,9.34229,9.45563,9.50946,..
India,IND,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.86467,11.94596,12.34237,12.16274,..,11.46347,..
Indonesia,IDN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.88266,13.33804,13.35651,13.53097,13.60698,..,..
"Iran, Islamic Rep.",IRN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.65942,..,14.93214,14.81373,..,..,..
Iraq,IRQ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Ireland,IRL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,18.18282,18.70903,18.79326,18.70529,19.75616,..,..
Isle of Man,IMN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Israel,ISR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.16893,16.17113,16.08654,16.16283,16.12526,..,..
Italy,ITA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.10825,16.03337,15.97876,16.0889,16.17504,..,..
Jamaica,JAM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,12.33967,..,..,..,..,..
Japan,JPN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Jordan,JOR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,10.14295,10.41677,..,..
Kazakhstan,KAZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.12672,15.11816,15.14946,15.29436,15.44011,15.61293,..
Kenya,KEN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Kiribati,KIR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
"Korea, South",PRK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,10.78317,..,..,..,..,..
"Korea, Rep.",KOR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.64546,16.6031,16.50547,16.48165,16.49396,..,..
Kosovo,XKX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Kuwait,KWT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.24582,14.69398,..,..,..,..,..
Kyrgyz Republic,KGZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.01056,12.96703,13.03037,12.97451,12.96756,13.03588,..
Lao PDR,LAO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.09207,11.22174,11.15811,10.98724,10.6347,10.47854,..
Late-demographic dividend,LTE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.50459,13.61076,13.70261,13.81562,14.03314,14.27722,..
Latin America & Caribbean,LCN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.48783,14.55317,14.70377,14.73335,14.84014,14.91434,..
Latin America & Caribbean (excluding high income),LAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.44999,14.50889,14.66608,14.69444,14.80232,14.88139,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.4921,14.55487,14.7122,14.73792,14.8442,14.92021,..
Latvia,LVA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.817,15.8314,15.98269,16.16769,16.23089,..,..
Least developed countries: UN classification,LDC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.40688,9.4212,9.45754,9.48157,9.59553,9.63042,..
Lebanon,LBN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Lending category not classified,LNX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Lesotho,LSO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.92323,11.81651,..,12.13149,..,..,..
Liberia,LBR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Libya,LBY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Liechtenstein,LIE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.63511,14.71424,14.72093,14.90233,14.62087,..,..
Lithuania,LTU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.46251,16.44508,16.49953,16.63731,16.56925,..,..
Low & middle income,LMY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.6263,11.71114,11.84007,11.85101,11.81827,11.8969,..
Low income,LIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.10655,9.04131,9.0825,..,..,..,..
Lower middle income,LMC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.98988,11.0803,11.26034,11.21245,11.03276,11.06614,..
Luxembourg,LUX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,14.06477,14.22752,14.25582,14.31532,..,..
"Macao SAR, China",MAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.06245,14.55335,15.26308,15.64829,15.94867,16.44214,..
Madagascar,MDG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.43931,10.56871,10.41318,..,10.17392,..,..
Malawi,MWI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Malaysia,MYS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.4519,13.66391,13.87247,13.67864,..,..,..
Maldives,MDV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Mali,MLI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.54131,7.34784,7.40398,7.46106,..,..,..
Malta,MLT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.41316,15.70612,15.84723,16.10407,16.58428,..,..
Marshall Islands,MHL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,10.23932,..
Mauritania,MRT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,9.02561,8.61794,8.58834,9.07599,9.34855,..
Mauritius,MUS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.31831,15.05727,15.09777,15.0566,..,..,..
Mayotte,MYT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Mexico,MEX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.04315,14.19681,14.63751,14.80978,14.86537,..,..
"Micronesia, Fed. Sts.",FSM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Middle East & North Africa,MEA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.8552,12.98744,13.06198,13.1205,13.18547,..,..
Middle East & North Africa (excluding high income),MNA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.47451,12.62173,12.73702,12.83671,12.91248,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.46297,12.61205,12.72952,12.82813,12.90444,..,..
Middle income,MIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.07517,12.19226,12.34363,12.35936,12.31942,12.41887,..
Moldova,MDA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.76271,11.63386,11.56715,11.61391,11.53408,11.42658,..
Monaco,MCO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Mongolia,MNG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Montenegro,MNE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,14.89724,15.02132,14.99968,14.9452,..
Morocco,MAR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,13.50344,13.72117,13.95808,..
